food_id,food_name_bn,food_name_en,aliases,category,serving_size_g,calories,protein,carbs,fat,sugar,sodium,fiber,is_common
1,ভাত,white rice,rice|bhaat|vat|plain rice|white rice|ভাত,grain,200,153.4,22.5,16.2,4.3,3.1,667.9,6.5,1.0
2,,brown rice,brown rice|brown-rice|brownrice,grain,150.0,246.6,1.9,14.7,14.4,0.8,183.0,7.8,1.0
3,,fried rice,fried rice|fried-rice|friedrice,grain,150.0,245.9,14.0,18.1,24.4,22.8,147.9,5.1,1.0
4,,polao,polao,grain,100.0,166.6,28.8,21.5,3.1,2.9,763.5,7.2,1.0
5,কাচ্চি বিরিয়ানি,kacchi biryani,kacchi|kacchi biryani|kacchi-biryani|kacchibiryani|kachi|কাচ্চি|কাচ্চি বিরিয়ানি,grain,250.0,133.0,14.3,9.2,25.9,2.4,267.4,7.5,1.0
6,তেহারি,tehari,tehari|tehri|তেহারি,grain,250.0,228.5,6.6,6.0,18.7,23.2,886.8,10.3,1.0
7,খিচুড়ি,khichuri,khichdi|khichuri|khicuri|kichuri|খিচুড়ি,grain,250.0,150.3,9.1,38.9,10.5,11.1,192.5,3.2,1.0
8,,bhuna khichuri,bhuna khichuri|bhuna-khichuri|bhunakhichuri,grain,200.0,314.4,18.7,11.9,20.6,4.9,344.6,11.9,1.0
9,,plain noodles,plain noodles|plain-noodles|plainnoodles,grain,200.0,326.4,7.4,20.8,21.6,1.7,740.5,9.7,1.0
10,,chow mein,chow mein|chow-mein|chowmein,grain,120.0,200.3,7.1,56.7,24.6,9.4,591.6,4.7,1.0
11,,rice noodles,rice noodles|rice-noodles|ricenoodles,grain,200.0,257.7,8.7,16.3,15.9,7.9,528.2,10.8,1.0
12,,cornflakes,cornflakes,grain,120.0,228.6,29.9,10.0,14.1,22.7,775.7,1.8,1.0
13,,suji,suji,grain,80.0,357.6,13.2,5.7,11.0,29.9,478.6,11.7,1.0
14,,semai,semai,grain,250.0,402.7,20.7,8.6,24.8,22.5,692.9,4.1,1.0
15,,flattened rice,flattened rice|flattened-rice|flattenedrice,grain,100.0,250.4,14.2,57.3,24.6,7.9,453.0,2.1,1.0
16,,muri,muri,grain,50.0,381.2,9.7,39.1,17.2,4.6,687.4,6.5,1.0
17,,oats,oats,grain,250.0,396.7,27.6,36.7,13.9,3.4,329.9,11.8,1.0
18,,barley porridge,barley porridge|barley-porridge|barleyporridge,grain,250.0,212.3,2.7,52.9,26.5,2.6,440.0,0.8,1.0
